date;hour;value;lat;lon;height
"2020-01-29";"03:00";24.72;49.25;23;750
"2020-01-29";"03:00";22.9;49.75;23;750
"2020-01-29";"03:00";20.96;50.25;23;750
"2020-01-29";"03:00";18.78;50.75;23;750
"2020-01-29";"03:00";19.76;51.25;23;750
"2020-01-29";"03:00";19.2;51.75;23;750
"2020-01-29";"03:00";9.47;52.25;23;750
"2020-01-29";"03:00";20.24;52.75;23;750
"2020-01-29";"03:00";24.4;53.25;23;750
"2020-01-29";"03:00";31.69;53.75;23;750
"2020-01-29";"03:00";32.79;54.25;23;750
"2020-01-29";"03:00";34.05;54.75;23;750
"2020-01-29";"03:00";10.29;49.25;14.2;1250
"2020-01-29";"03:00";10.07;49.75;14.2;1250
"2020-01-29";"03:00";10.36;50.25;14.2;1250
"2020-01-29";"03:00";12.92;50.75;14.2;1250
"2020-01-29";"03:00";7.15;51.25;14.2;1250
"2020-01-29";"03:00";5.56;51.75;14.2;1250
"2020-01-29";"03:00";7.33;52.25;14.2;1250
"2020-01-29";"03:00";14.71;52.75;14.2;1250
"2020-01-29";"03:00";16.87;53.25;14.2;1250
"2020-01-29";"03:00";12.31;53.75;14.2;1250
"2020-01-29";"03:00";10.58;54.25;14.2;1250
"2020-01-29";"03:00";13.97;54.75;14.2;1250
"2020-01-29";"03:00";11.23;49.25;15;1250
"2020-01-29";"03:00";10.51;49.75;15;1250
"2020-01-29";"03:00";11.29;50.25;15;1250
"2020-01-29";"03:00";12.36;50.75;15;1250
"2020-01-29";"03:00";7.22;51.25;15;1250
"2020-01-29";"03:00";4.85;51.75;15;1250
"2020-01-29";"03:00";9.73;52.25;15;1250
"2020-01-29";"03:00";15.98;52.75;15;1250
"2020-01-29";"03:00";16.76;53.25;15;1250
"2020-01-29";"03:00";11.09;53.75;15;1250
"2020-01-29";"03:00";12.45;54.25;15;1250
"2020-01-29";"03:00";21.07;54.75;15;1250
"2020-01-29";"03:00";11.77;49.25;15.8;1250
"2020-01-29";"03:00";10.59;49.75;15.8;1250
"2020-01-29";"03:00";12.01;50.25;15.8;1250
"2020-01-29";"03:00";9.63;50.75;15.8;1250
"2020-01-29";"03:00";5.69;51.25;15.8;1250
"2020-01-29";"03:00";5;51.75;15.8;1250
"2020-01-29";"03:00";9.27;52.25;15.8;1250
"2020-01-29";"03:00";18.59;52.75;15.8;1250
"2020-01-29";"03:00";17.08;53.25;15.8;1250
"2020-01-29";"03:00";9.06;53.75;15.8;1250
"2020-01-29";"03:00";15.2;54.25;15.8;1250
"2020-01-29";"03:00";28.59;54.75;15.8;1250
"2020-01-29";"03:00";11.56;49.25;16.6;1250
"2020-01-29";"03:00";11.42;49.75;16.6;1250
"2020-01-29";"03:00";13.51;50.25;16.6;1250
"2020-01-29";"03:00";9.53;50.75;16.6;1250
"2020-01-29";"03:00";6.73;51.25;16.6;1250
"2020-01-29";"03:00";5.99;51.75;16.6;1250
"2020-01-29";"03:00";8.59;52.25;16.6;1250
"2020-01-29";"03:00";20.79;52.75;16.6;1250
"2020-01-29";"03:00";16.16;53.25;16.6;1250
"2020-01-29";"03:00";8.62;53.75;16.6;1250
"2020-01-29";"03:00";17.61;54.25;16.6;1250
"2020-01-29";"03:00";32.51;54.75;16.6;1250
"2020-01-29";"03:00";12.12;49.25;17.4;1250
"2020-01-29";"03:00";11.3;49.75;17.4;1250
"2020-01-29";"03:00";11.83;50.25;17.4;1250
"2020-01-29";"03:00";8.17;50.75;17.4;1250
"2020-01-29";"03:00";6.41;51.25;17.4;1250
"2020-01-29";"03:00";7.63;51.75;17.4;1250
"2020-01-29";"03:00";12.69;52.25;17.4;1250
"2020-01-29";"03:00";19.86;52.75;17.4;1250
"2020-01-29";"03:00";13.3;53.25;17.4;1250
"2020-01-29";"03:00";11.12;53.75;17.4;1250
"2020-01-29";"03:00";21.11;54.25;17.4;1250
"2020-01-29";"03:00";35.08;54.75;17.4;1250
"2020-01-29";"03:00";14.05;49.25;18.2;1250
"2020-01-29";"03:00";13.6;49.75;18.2;1250
"2020-01-29";"03:00";11.41;50.25;18.2;1250
"2020-01-29";"03:00";8.54;50.75;18.2;1250
"2020-01-29";"03:00";6.42;51.25;18.2;1250
"2020-01-29";"03:00";7.71;51.75;18.2;1250
"2020-01-29";"03:00";16.42;52.25;18.2;1250
"2020-01-29";"03:00";18.31;52.75;18.2;1250
"2020-01-29";"03:00";9.04;53.25;18.2;1250
"2020-01-29";"03:00";17.54;53.75;18.2;1250
"2020-01-29";"03:00";26.98;54.25;18.2;1250
"2020-01-29";"03:00";37.37;54.75;18.2;1250
"2020-01-29";"03:00";15.26;49.25;19;1250
"2020-01-29";"03:00";12.8;49.75;19;1250
"2020-01-29";"03:00";9.69;50.25;19;1250
"2020-01-29";"03:00";7.64;50.75;19;1250
"2020-01-29";"03:00";6.44;51.25;19;1250
"2020-01-29";"03:00";9.27;51.75;19;1250
"2020-01-29";"03:00";16.56;52.25;19;1250
"2020-01-29";"03:00";19.39;52.75;19;1250
"2020-01-29";"03:00";9.81;53.25;19;1250
"2020-01-29";"03:00";20.3;53.75;19;1250
"2020-01-29";"03:00";32.72;54.25;19;1250
"2020-01-29";"03:00";36.42;54.75;19;1250
"2020-01-29";"03:00";9.03;49.25;19.8;1250
"2020-01-29";"03:00";11.87;49.75;19.8;1250
"2020-01-29";"03:00";7.15;50.25;19.8;1250
"2020-01-29";"03:00";7.61;50.75;19.8;1250
"2020-01-29";"03:00";6.37;51.25;19.8;1250
"2020-01-29";"03:00";10.24;51.75;19.8;1250
"2020-01-29";"03:00";17.48;52.25;19.8;1250
"2020-01-29";"03:00";18.34;52.75;19.8;1250
"2020-01-29";"03:00";11.38;53.25;19.8;1250
"2020-01-29";"03:00";20.41;53.75;19.8;1250
"2020-01-29";"03:00";34.75;54.25;19.8;1250
"2020-01-29";"03:00";39.78;54.75;19.8;1250
"2020-01-29";"03:00";14.59;49.25;20.6;1250
"2020-01-29";"03:00";11.18;49.75;20.6;1250
"2020-01-29";"03:00";9.38;50.25;20.6;1250
